target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,None,0.88796294,-0.17314816,0,0,0,1.0224113814765587,None,28.414971030014566,None,89.43375590001233,None,89.43375590001233,None,-0.096296296,-0.075925924,0,0,0,0.012499329983256757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
negative,negative,1,j,l,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,137.7134799999185,None,prac,1,1,1,negative,negative,j,j,1,1.8199723999714479,139.7429707000265,140.74645759991836,140.7080844999291,None,139.7429707000265,None,139.7429707000265,None,139.7429707000265,None,142.5560744999675,None,142.5560744999675,None,142.5560744999675,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
neutral,neutral,2,k,k,,,,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,neutral,k,k,1,0.8834028999553993,143.57121319998987,144.58857939997688,144.5473468999844,None,143.57121319998987,None,143.57121319998987,None,143.57121319998987,None,145.43699592996853,None,145.43699592996853,None,145.43699592996853,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,neutral,1,l,j,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,positive,l,l,1,0.8283250000094995,145.45230329991318,146.46427009999752,146.44478939997498,None,145.45230329991318,None,145.45230329991318,None,145.45230329991318,None,147.2657437299378,None,147.2657437299378,None,147.2657437299378,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
negative,neutral,2,j,l,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,negative,j,j,1,0.8816778999753296,147.28097329998855,148.2973939999938,148.2610943999607,None,147.28097329998855,None,147.28097329998855,None,147.28097329998855,None,149.14911493000108,None,149.14911493000108,None,149.14911493000108,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
neutral,positive,1,k,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,0.812773699988611,149.16551099997014,150.18107509997208,150.14714299992193,None,149.16551099997014,None,149.16551099997014,None,149.16551099997014,None,150.96458383002317,None,150.96458383002317,None,150.96458383002317,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,negative,2,l,j,,,,,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,l,l,1,0.824178299983032,150.97951149998698,151.9809266999364,151.964644499938,None,150.97951149998698,None,150.97951149998698,None,150.97951149998698,None,152.79263972996267,None,152.79263972996267,None,152.79263972996267,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
neutral,neutral,1,k,k,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,0.7765339999459684,152.80881279997993,153.81370679999236,153.79705539997667,None,152.80881279997993,None,152.80881279997993,None,152.80881279997993,None,154.56889893002807,None,154.56889893002807,None,154.56889893002807,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,positive,1,l,j,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,positive,l,l,1,0.7980805999832228,154.58718239993323,155.59984049992636,155.56527579994872,None,154.58718239993323,None,154.58718239993323,None,154.58718239993323,None,156.36871472995261,None,156.36871472995261,None,156.36871472995261,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,negative,1,l,j,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,positive,l,l,1,0.7233453000662848,156.38540459994692,157.39750469999854,157.36282389995176,None,156.38540459994692,None,156.38540459994692,None,156.38540459994692,None,158.09629772992338,None,158.09629772992338,None,158.09629772992338,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
