target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,None,-0.20925926,-0.40648147,0,0,0,1.0012590400024237,None,20.08047376000004,None,66.99263259999998,None,66.99263259999998,None,-0.1037037,-0.062037036,0,0,0,0.01276185999995505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
positive,positive,1,l,j,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,71.74055850000013,None,prac,1,1,1,positive,positive,j,j,1,1.533587599999919,73.78592010000011,74.80822579999995,74.76778779999995,None,73.78592010000011,None,73.78592010000011,None,73.78592010000011,None,76.31166340000027,None,76.31166340000027,None,76.31166340000027,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,negative,2,k,k,,,,,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,1.0379565999996885,77.35619940000015,78.37609350000002,78.34738090000019,None,77.35619940000015,None,77.35619940000015,None,77.35619940000015,None,79.35478926000033,None,79.35478926000033,None,79.35478926000033,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,positive,2,j,l,,,,,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,negative,l,l,1,0.7619902000001275,79.3939835000001,80.40375369999992,80.38330170000017,None,79.3939835000001,None,79.3939835000001,None,79.3939835000001,None,81.1194378600002,None,81.1194378600002,None,81.1194378600002,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,negative,1,k,k,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,1.0314062999996167,81.15724600000021,82.16758930000015,82.13068620000013,None,81.15724600000021,None,81.15724600000021,None,81.15724600000021,None,83.15141946000031,None,83.15141946000031,None,83.15141946000031,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,neutral,2,k,k,,,,,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,neutral,k,k,1,0.6942501999997148,83.1859128000001,84.19233280000026,84.17183730000033,None,83.1859128000001,None,83.1859128000001,None,83.1859128000001,None,84.84692166000005,None,84.84692166000005,None,84.84692166000005,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,positive,2,k,k,,,,,0,5,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,k,1,0.6998225999996066,84.87102380000033,85.89203540000017,85.85052050000013,None,84.87102380000033,None,84.87102380000033,None,84.87102380000033,None,86.54936896000018,None,86.54936896000018,None,86.54936896000018,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,negative,2,j,l,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,negative,l,l,1,0.7635000000000218,86.56872659999999,87.58243240000002,87.54370420000032,None,86.56872659999999,None,86.56872659999999,None,86.56872659999999,None,88.31462356000011,None,88.31462356000011,None,88.31462356000011,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,neutral,2,j,l,,,,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,negative,l,l,1,0.7654757000000245,88.34707600000002,89.35054230000014,89.33346710000023,None,88.34707600000002,None,88.34707600000002,None,88.34707600000002,None,90.08461556000012,None,90.08461556000012,None,90.08461556000012,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,positive,1,j,l,,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,negative,l,l,1,0.8259826999997131,90.12008700000024,91.13900390000026,91.09845949999999,None,90.12008700000024,None,90.12008700000024,None,90.12008700000024,None,91.91221346000012,None,91.91221346000012,None,91.91221346000012,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
