distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,33.21122870000545,None,-0.34444445,-0.21851853,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,38.8230435200152,None,None,0.072222225,-0.40925926,0,0,0,1.0113426201278344,None,102.39287139999215,None,102.39287139999215,None,-0.108333334,-0.075,0,0,0,0.013023919891566038,None,103.88118259992916,None,103.88118259992916,None,105.893352999934,None,105.893352999934,None,prac,k,k,1,1.7646412999602035,107.90733939991333,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5021341999527067,111.69071719993372,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4978207999374717,114.19513449992519,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989985000574961,116.69327239994891,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4976433999836445,119.19418190000579,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5009244000539184,121.69280870002694,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1017969999229535,124.19646529993042,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4926908999914303,126.29706449992955,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4991571999853477,128.7936255999375,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.4869115999899805,131.29363089997787,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.493946100003086,133.78024779993575,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9957347000017762,136.2778078999836,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.501411399920471,138.27517029992305,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,red,1,None,None,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4982443999033421,140.77898910001386,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,blue,2,k,None,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7537353999214247,143.2779426999623,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,blue,1,k,None,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.331429100013338,145.03139739995822,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,blue,1,None,k,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4937215000391006,147.36356899992097,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,blue,2,k,None,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7700300000142306,149.86107440001797,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,blue,1,k,None,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8656499000499025,151.62997249991167,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,yellow,1,None,k,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4935161001048982,153.49781959992833,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9347729000728577,155.99510940001346,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4953752999426797,157.9389454999473,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4983778999885544,160.42802919994574,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4984396999934688,162.92814380000345,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.499023100011982,165.4276410000166,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4983175999950618,167.9278678999981,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.6696356000611559,170.42824279994238,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5019664999563247,174.10897800000384,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4984390999889001,176.61211430002004,None,None,1,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0207828999264166,179.111678199959,None,None,0,,,,,,,,,,,,,,122,21,Female,2022-05-09_16h04.23.657,Parachute,2022.1.1,59.8563328091407,
