distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,32.84211090000008,None,0.08148148,-0.20555556,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,47.05184654999996,None,None,0.015740741,-0.35,0,0,0,1.0084234500000093,None,102.04472009999995,None,102.04472009999995,None,-0.09259259,-0.09351852,0,0,0,0.012503550000246832,None,104.13507920000006,None,104.13507920000006,None,106.14443099999994,None,106.14443099999994,None,prac,None,None,1,1.5032703000001675,108.1893536,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.502271300000075,110.68276059999994,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,6.116617500000075,113.18590500000005,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.5484232000001157,121.33790590000012,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,2.9413079000000835,124.88788990000012,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8041449999998349,129.83714499999996,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4994251000000531,131.63351519999992,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5060521000000335,134.1330809000001,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7728627999999844,136.63934910000012,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4993551000000025,138.41625790000012,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.800172300000213,140.9162933,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989525999999387,142.71822270000007,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4969265999998242,145.2188982,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,red,1,None,None,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5008050999999796,147.7175697,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,blue,2,k,None,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5011156000000483,150.22031040000002,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,blue,1,k,None,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4963694000000487,152.72310820000007,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,blue,1,None,k,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7061440999998467,155.22112199999992,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,blue,2,k,None,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5030430000001616,156.9308117999999,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,blue,1,k,None,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5042212999999265,159.4450698999999,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,yellow,1,None,k,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8599269999999706,161.94155890000002,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5008252000000084,163.80265409999993,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.511294399999997,166.31561570000008,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7905802000000222,168.81799490000003,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7790308999999525,170.6123308000001,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7181001999999808,172.39277519999996,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8759966000000077,174.11225179999997,None,None,0,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.511640099999795,175.99042450000002,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.497535199999902,178.50151899999992,None,None,1,,,,,,,,,,,,,,213,24,Female,2022-05-10_13h52.22.625,Main,2022.1.1,60.028729750110074,
